q,k,pair,order,variant,sample,wall_s,thread_cpu_s,process_cpu_s,residual_s
32,10,0,AB,A,0,0.011507899,0.01151038,0.011509432,1.0125999999999191e-05
32,10,0,AB,A,1,0.011522292,0.011523759,0.011536808,8.134999999999393e-06
32,10,0,AB,A,2,0.012536535,0.011731814,0.011755723,8.418999999999094e-06
32,10,0,AB,A,3,0.011646789,0.010970187,0.010969415,9.318999999998953e-06
32,10,0,AB,A,4,0.011967236,0.011968613,0.011967921,8.015999999999579e-06
32,10,0,AB,A,5,0.01189715,0.011898431,0.01189782,7.391000000000689e-06
32,10,0,AB,A,6,0.011782256,0.011783703,0.011782937,8.651999999999618e-06
32,10,0,AB,A,7,0.011530325,0.011531586,0.011530953,8.010999999998741e-06
32,10,0,AB,B,0,0.010853696,0.01085635,0.010893059,1.0856999999999534e-05
32,10,0,AB,B,1,0.010617122,0.010618372,0.010617722,9.877999999999623e-06
32,10,0,AB,B,2,0.011045909,0.011047248,0.011046505,8.430999999999716e-06
32,10,0,AB,B,3,0.011115009,0.011116302,0.011115626,8.093000000000683e-06
32,10,0,AB,B,4,0.011195553,0.011196823,0.011196141,1.072799999999978e-05
32,10,0,AB,B,5,0.010372915,0.010374152,0.010373504,7.26500000000109e-06
32,10,0,AB,B,6,0.011290696,0.011291914,0.011291307,7.141000000000439e-06
32,10,0,AB,B,7,0.011118016,0.011119256,0.011118627,8.120999999999823e-06
32,10,1,BA,B,0,0.011031958,0.011034687,0.011033515,9.808999999999513e-06
32,10,1,BA,B,1,0.011054924,0.011056302,0.011055568,8.143000000000386e-06
32,10,1,BA,B,2,0.011258048,0.011259478,0.011272347,8.565000000000308e-06
32,10,1,BA,B,3,0.011200794,0.011202136,0.011223689,7.675999999999863e-06
32,10,1,BA,B,4,0.01120809,0.011209401,0.011208702,7.006999999999847e-06
32,10,1,BA,B,5,0.010790445,0.010791749,0.010791078,6.4619999999987465e-06
32,10,1,BA,B,6,0.01094682,0.010948188,0.010947471,6.769999999999693e-06
32,10,1,BA,B,7,0.010552157,0.010548306,0.010547638,7.73800000000019e-06
32,10,1,BA,A,0,0.011126076,0.011128814,0.011127761,1.0450999999999863e-05
32,10,1,BA,A,1,0.010802798,0.010775743,0.010788027,8.742000000000819e-06
32,10,1,BA,A,2,0.011120454,0.011121844,0.011121104,8.828000000000655e-06
32,10,1,BA,A,3,0.01078739,0.010788844,0.010811491,7.481000000001889e-06
32,10,1,BA,A,4,0.010993101,0.010994403,0.010993732,6.871999999999781e-06
32,10,1,BA,A,5,0.011003209,0.011004539,0.011003841,6.650999999999879e-06
32,10,1,BA,A,6,0.011044742,0.01104619,0.011045413,8.603999999998863e-06
32,10,1,BA,A,7,0.011095595,0.011096804,0.011096168,7.794000000000204e-06
32,10,2,AB,A,0,0.01072859,0.010731165,0.010730056,1.0481999999999159e-05
32,10,2,AB,A,1,0.011506248,0.011507645,0.011506892,8.636000000001101e-06
32,10,2,AB,A,2,0.010900009,0.010901464,0.010900648,7.57099999999962e-06
32,10,2,AB,A,3,0.010870156,0.010871548,0.010870776,8.704000000000003e-06
32,10,2,AB,A,4,0.010753506,0.010754887,0.010754131,7.647999999998989e-06
32,10,2,AB,A,5,0.010964588,0.01096597,0.010965191,8.861000000000632e-06
32,10,2,AB,A,6,0.011039332,0.011040719,0.01103997,8.539000000000116e-06
32,10,2,AB,A,7,0.011118852,0.011120188,0.011119478,7.60200000000065e-06
32,10,2,AB,B,0,0.011129362,0.011131806,0.011130783,1.1040000000000355e-05
32,10,2,AB,B,1,0.0112484,0.011249688,0.011248968,9.045000000000927e-06
32,10,2,AB,B,2,0.011158822,0.01116016,0.01117255,9.100000000001468e-06
32,10,2,AB,B,3,0.010535219,0.01053656,0.010558191,8.301000000000489e-06
32,10,2,AB,B,4,0.011294648,0.011295923,0.011295252,7.419999999999302e-06
32,10,2,AB,B,5,0.011158478,0.011159689,0.011159074,7.18499999999983e-06
32,10,2,AB,B,6,0.010585467,0.010586763,0.010586113,9.104999999998836e-06
32,10,2,AB,B,7,0.011355076,0.011356341,0.011355722,7.995999999999698e-06
32,10,3,BA,B,0,0.010699372,0.01070165,0.010700509,1.047000000000027e-05
