q,radius,pair,order,variant,sample,wall_s,thread_cpu_s,process_cpu_s,residual_s
32,300,0,AB,A,0,0.011146554,0.011148972,0.011186417,5.629999999999524e-06
32,300,0,AB,A,1,0.01112833,0.011129586,0.011141116,3.806999999999769e-06
32,300,0,AB,A,2,0.011130611,0.011131746,0.011131163,3.3510000000003953e-06
32,300,0,AB,A,3,0.011144294,0.011145439,0.011144855,3.386000000001055e-06
32,300,0,AB,A,4,0.011128627,0.011129844,0.01112918,3.417999999999824e-06
32,300,0,AB,A,5,0.011130706,0.011131903,0.011131319,3.6570000000006597e-06
32,300,0,AB,A,6,0.011149314,0.01115038,0.011149844,3.4090000000010917e-06
32,300,0,AB,A,7,0.011140636,0.011141739,0.011141165,3.381000000000217e-06
32,300,0,AB,B,0,0.002572564,0.002574831,0.002573816,7.4739999999999356e-06
32,300,0,AB,B,1,0.002583967,0.002585222,0.002584431,4.955999999999971e-06
32,300,0,AB,B,2,0.002610127,0.002611336,0.0026106,4.329999999999872e-06
32,300,0,AB,B,3,0.002595905,0.002597081,0.002596345,4.061000000000082e-06
32,300,0,AB,B,4,0.002599927,0.002601105,0.002600377,3.916999999999983e-06
32,300,0,AB,B,5,0.002611823,0.00261298,0.002612261,3.942000000000268e-06
32,300,0,AB,B,6,0.002597656,0.002598839,0.0025981,4.309999999999557e-06
32,300,0,AB,B,7,0.002685391,0.002686597,0.002685845,5.864999999999863e-06
32,300,1,BA,B,0,0.002520107,0.002522241,0.002521317,5.612000000000325e-06
32,300,1,BA,B,1,0.002493911,0.002494926,0.002494284,4.056000000000112e-06
32,300,1,BA,B,2,0.002483759,0.002484727,0.002484118,3.6139999999998743e-06
32,300,1,BA,B,3,0.002518581,0.002519523,0.002518948,3.2770000000003144e-06
32,300,1,BA,B,4,0.002485126,0.002486058,0.002485485,3.179999999999763e-06
32,300,1,BA,B,5,0.002489671,0.002490608,0.002490027,3.3350000000001434e-06
32,300,1,BA,B,6,0.002502868,0.002503803,0.00250323,3.1090000000002713e-06
32,300,1,BA,B,7,0.002497177,0.002498099,0.002497527,2.948000000000013e-06
32,300,1,BA,A,0,0.011906745,0.011909023,0.011908199,6.472000000000422e-06
32,300,1,BA,A,1,0.011405871,0.011363812,0.011363182,4.620999999999792e-06
32,300,1,BA,A,2,0.011807971,0.011809409,0.011845726,3.688999999999429e-06
32,300,1,BA,A,3,0.01332803,0.012348447,0.012347889,3.619999999999318e-06
32,300,1,BA,A,4,0.011099005,0.01110009,0.011099555,3.310999999998898e-06
32,300,1,BA,A,5,0.01157007,0.011571206,0.011570635,2.9870000000011693e-06
32,300,1,BA,A,6,0.011445311,0.011396596,0.011396063,3.2599999999997215e-06
32,300,1,BA,A,7,0.011096742,0.011097834,0.011097296,3.231999999998847e-06
32,300,2,AB,A,0,0.0111088,0.011110986,0.0111101,6.176000000000098e-06
32,300,2,AB,A,1,0.011090444,0.011091577,0.011090981,4.4510000000008015e-06
32,300,2,AB,A,2,0.011079599,0.011080839,0.011093654,3.4719999999991563e-06
32,300,2,AB,A,3,0.011084217,0.011080821,0.011080055,3.474000000001573e-06
32,300,2,AB,A,4,0.011096412,0.011097691,0.011121913,3.9600000000007685e-06
32,300,2,AB,A,5,0.01108887,0.011090084,0.011089454,3.7820000000007847e-06
32,300,2,AB,A,6,0.011096685,0.011097856,0.011097236,3.4780000000012024e-06
32,300,2,AB,A,7,0.011090595,0.011091732,0.011091133,3.6509999999986137e-06
32,300,2,AB,B,0,0.002479365,0.002481263,0.002480434,5.880999999999682e-06
32,300,2,AB,B,1,0.002476185,0.00247709,0.002476554,4.305999999999928e-06
32,300,2,AB,B,2,0.002458582,0.002459506,0.00245896,3.897000000000102e-06
32,300,2,AB,B,3,0.00249858,0.002499519,0.00249894,3.5469999999995783e-06
32,300,2,AB,B,4,0.002451277,0.002452198,0.002451628,3.4699999999997753e-06
32,300,2,AB,B,5,0.00250986,0.002510755,0.002510226,3.3569999999998393e-06
32,300,2,AB,B,6,0.002429684,0.002430558,0.002430036,3.1410000000003414e-06
32,300,2,AB,B,7,0.002475367,0.002476271,0.002475724,3.4359999999998905e-06
32,300,3,BA,B,0,0.002475291,0.002477405,0.002476481,5.284000000000365e-06
32,300,3,BA,B,1,0.002477033,0.002477999,0.002477438,4.2040000000002735e-06
32,300,3,BA,B,2,0.002462236,0.002463157,0.002462609,3.5690000000001415e-06
32,300,3,BA,B,3,0.002456732,0.002457661,0.002457096,3.313999999999921e-06
